t_sec,X,Y,Z,MAG,temp,phase,event_flag,terminal_id,location
0.0,2.0632936068954124,2.005192624252739,1.5400975928381166,3.2634151688191353,22.084956972146497,0.7711183968870265,0,obs_terminal_2,Hoshimigato Shrine
0.5,1.2649467751858665,2.2055434604033115,1.3330139987384906,2.8707905915642327,21.98079973578276,1.0500670033873138,0,obs_terminal_2,Hoshimigato Shrine
1.0,1.9487106589267433,2.0259317126339558,1.8845037258617547,3.384261637234552,21.964193008799004,0.8048241475836602,0,obs_terminal_2,Hoshimigato Shrine
1.5,2.577754214168929,2.07987732778896,2.4731560580027474,4.133667545237753,21.976591913238682,0.6789076765962117,0,obs_terminal_2,Hoshimigato Shrine
2.0,2.1080033651031487,1.67487897884735,2.178996572011236,3.4636575815036417,21.943876748758193,0.6713987198733381,0,obs_terminal_2,Hoshimigato Shrine
2.5,2.1397943983558343,2.4287128507572295,2.5936232147501928,4.147800327735105,22.031119751585177,0.8485553797984108,0,obs_terminal_2,Hoshimigato Shrine
3.0,1.599467868335373,1.6822285269508928,1.6599009807901197,2.8536750944619946,22.01442409058043,0.8106116841883335,0,obs_terminal_2,Hoshimigato Shrine
3.5,2.2788598437974645,2.0653403009946447,2.6120774087103897,4.035068913374397,22.030498972318654,0.7362872001741647,0,obs_terminal_2,Hoshimigato Shrine
4.0,2.351909962598872,2.2244869571357406,2.0670080459257334,3.8408781491425334,21.97928144240344,0.757561834013998,0,obs_terminal_2,Hoshimigato Shrine
4.5,1.9896920168346586,1.7305459422441032,1.9151255774560327,3.259044270564517,21.997096351033036,0.7158520370866481,0,obs_terminal_2,Hoshimigato Shrine
5.0,0.989519413508746,1.2787873297710048,1.0970330090284668,1.9539516696662693,21.891079063829554,0.9122394447688857,0,obs_terminal_2,Hoshimigato Shrine
5.5,2.6825553777259583,2.107569102760209,2.3830434750841842,4.161351593126593,22.018811277565554,0.665933976424981,0,obs_terminal_2,Hoshimigato Shrine
6.0,1.8823586665309302,2.3895435677167263,2.013814168871737,3.6481008920024465,22.004942072752982,0.9035707635394158,0,obs_terminal_2,Hoshimigato Shrine
6.5,12.130696469569054,-42.63619459947168,-10.83966727674645,45.63438696237083,21.944973616925328,-1.293604499892324,0,obs_terminal_2,Hoshimigato Shrine
7.0,2.3691564253402997,2.2720513557738746,2.37587705579857,4.052148974960719,21.994767123395672,0.764478844814827,0,obs_terminal_2,Hoshimigato Shrine
7.5,2.0219619594503166,1.7405063772770992,2.1302211742854436,3.41402033769286,21.98710753489649,0.710731134010413,0,obs_terminal_2,Hoshimigato Shrine
8.0,1.8456018833542402,1.7185152824117247,1.7487375610583933,3.0688147785716597,22.088215596750373,0.7497560183373518,0,obs_terminal_2,Hoshimigato Shrine
8.5,1.712567782206086,2.1622058586281265,1.510545965226785,3.144800740396597,21.94694365159361,0.9009238734190702,0,obs_terminal_2,Hoshimigato Shrine
9.0,2.1995149146317194,2.4489344801147066,2.163219620516525,3.9388659629606244,22.016571308943334,0.8390032681468114,0,obs_terminal_2,Hoshimigato Shrine
9.5,1.682797230851127,1.501390359840992,1.1141789134960765,2.515427236885015,21.945461582366082,0.7284885177593386,0,obs_terminal_2,Hoshimigato Shrine
10.0,2.8391805250673268,2.851029103167262,2.7012639648282124,4.8462500976226695,21.972106327796485,0.7874804348337356,0,obs_terminal_2,Hoshimigato Shrine
10.5,2.0341247048446682,1.5678275438936171,1.8858977398579175,3.1862763231477746,22.01384094768461,0.6566573827849945,0,obs_terminal_2,Hoshimigato Shrine
11.0,2.454805111853064,2.2258974856890914,2.019127478105719,3.8804076495670548,21.989431850456846,0.7365325511288834,0,obs_terminal_2,Hoshimigato Shrine
11.5,1.8769117018090227,2.6010840861345876,2.030579818744514,3.7962732198595437,21.999700457189324,0.9457280620378374,0,obs_terminal_2,Hoshimigato Shrine
12.0,2.521704105240899,2.3553743329087764,2.5777113767984945,4.307130806533586,22.0166361054116,0.7513069891747401,0,obs_terminal_2,Hoshimigato Shrine
12.5,1.8401384791037594,1.8742729168559775,1.6831997247009443,3.119642592088306,21.975315521440073,0.7945876346931351,0,obs_terminal_2,Hoshimigato Shrine
13.0,1.9485134139591826,1.8407771142990828,1.7024331360153244,3.175443825909868,22.04420732674077,0.7569740341862284,0,obs_terminal_2,Hoshimigato Shrine
13.5,2.2868520368669167,2.515879795515327,2.353517179432871,4.135019528114743,21.98472601283812,0.8330490413649815,0,obs_terminal_2,Hoshimigato Shrine
14.0,2.496360467628637,2.5692688552354035,2.7870495692770576,4.538788752126401,21.995122226922373,0.7997899297948974,0,obs_terminal_2,Hoshimigato Shrine
14.5,2.2189850100228807,1.9385460082632902,2.1535424501171936,3.649602743493673,22.018065563729394,0.718046932375391,0,obs_terminal_2,Hoshimigato Shrine
15.0,1.718327104046507,1.9042918591649858,1.8602478115329713,3.1685165995613946,22.01135001005824,0.8366874826609527,0,obs_terminal_2,Hoshimigato Shrine
15.5,1.7764682862021584,2.7142319862911526,1.959633087269896,3.7898623568687815,22.032211396227144,0.9912632733197964,0,obs_terminal_2,Hoshimigato Shrine
16.0,2.7889714366071505,2.8571307140591617,2.4111483746865763,4.664246356720932,22.015848220074236,0.7974694941926314,0,obs_terminal_2,Hoshimigato Shrine
